City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
305,leningradskiy,RU,69.38,178.42,1579645475.0,-10.64,96.0,100.0,9.46
307,trinidad,BO,-14.83,-64.9,1579645326.0,89.6,70.0,75.0,6.93
308,atar,MR,20.52,-13.05,1579645477.0,62.6,26.0,2.0,4.7
309,medina,SA,24.47,39.61,1579645478.0,60.8,42.0,0.0,10.29
310,batagay-alyta,RU,67.8,130.41,1579645479.0,-25.89,89.0,99.0,2.8
311,sembe,CG,1.65,14.58,1579645481.0,76.17,40.0,30.0,3.96
312,baherden,TM,38.44,57.43,1579645482.0,29.82,84.0,0.0,7.74
313,manggar,ID,-2.88,108.27,1579645483.0,81.41,82.0,0.0,7.9
314,wamba,NG,8.93,8.6,1579645484.0,76.26,24.0,61.0,3.83
315,waipawa,NZ,-41.41,175.52,1579645485.0,64.99,72.0,98.0,21.92
316,kieta,PG,-6.22,155.63,1579645486.0,81.39,70.0,22.0,4.47
317,tuatapere,NZ,-46.13,167.68,1579645487.0,60.48,73.0,92.0,4.03
318,meulaboh,ID,4.14,96.13,1579645488.0,80.67,86.0,17.0,7.58
319,sobolevo,RU,54.43,31.9,1579645489.0,37.8,85.0,83.0,15.39
321,geraldton,AU,-28.77,114.6,1579645491.0,64.4,68.0,90.0,17.22
322,dapaong,TG,10.86,0.2,1579645492.0,81.23,22.0,37.0,5.5
323,bredy,RU,52.42,60.34,1579645493.0,11.53,95.0,11.0,11.07
324,saint-nazaire,FR,47.28,-2.2,1579645494.0,37.4,82.0,0.0,11.41
325,ca mau,VN,9.18,105.15,1579645495.0,75.0,86.0,31.0,6.91
326,nan,TH,18.83,100.67,1579645496.0,65.89,75.0,5.0,1.34
327,mbuguni,TZ,-3.57,36.95,1579645498.0,77.0,83.0,40.0,3.36
328,sisimiut,GL,66.94,-53.67,1579645499.0,7.02,74.0,100.0,2.37
329,puerto leguizamo,CO,-0.19,-74.78,1579645500.0,90.18,52.0,100.0,3.58
330,kedrovyy,RU,56.17,91.82,1579645501.0,-0.4,64.0,40.0,6.71
331,hansot,IN,21.58,72.8,1579645502.0,66.2,63.0,0.0,6.93
332,darhan,MN,49.49,105.92,1579645503.0,1.02,83.0,100.0,4.07
334,taoudenni,ML,22.68,-3.98,1579645504.0,67.62,20.0,33.0,5.37
335,barrow,US,71.29,-156.79,1579645505.0,3.2,77.0,75.0,8.05
336,vypolzovo,RU,57.88,33.7,1579645506.0,32.61,78.0,88.0,15.05
337,katherine,AU,-14.47,132.27,1579645508.0,78.8,88.0,90.0,9.17
338,narsaq,GL,60.92,-46.05,1579645509.0,24.8,85.0,100.0,3.36
339,sioux lookout,CA,50.1,-91.92,1579645510.0,23.0,73.0,90.0,10.29
340,kupang,ID,-10.17,123.58,1579645511.0,77.0,100.0,90.0,3.36
341,manakara,MG,-22.13,48.02,1579645512.0,70.29,93.0,100.0,4.38
342,cherskiy,RU,68.75,161.3,1579645513.0,-21.17,98.0,100.0,7.09
343,arrifes,PT,37.77,-25.7,1579645514.0,57.2,76.0,40.0,13.87
344,shieli,KZ,44.17,66.75,1579645515.0,24.51,84.0,100.0,5.41
345,subirana,HN,15.2,-87.45,1579645516.0,75.2,64.0,75.0,13.87
346,sitka,US,57.05,-135.33,1579645518.0,39.2,93.0,90.0,5.82
347,dingle,PH,11.0,122.67,1579645519.0,70.5,91.0,69.0,12.08
348,zhob,PK,31.34,69.45,1579645520.0,37.54,79.0,76.0,4.38
350,college,US,64.86,-147.8,1579645521.0,-6.0,75.0,1.0,1.59
351,salalah,OM,17.02,54.09,1579645522.0,73.4,64.0,20.0,2.42
352,faanui,PF,-16.48,-151.75,1579645523.0,81.64,78.0,53.0,10.04
353,tiksi,RU,71.69,128.87,1579645524.0,-23.48,90.0,70.0,5.23
354,soller,ES,39.77,2.72,1579645525.0,55.99,93.0,0.0,6.93
355,general roca,AR,-39.03,-67.58,1579645527.0,86.0,33.0,75.0,18.34
356,champerico,GT,14.3,-91.92,1579645528.0,87.8,55.0,40.0,16.11
358,san-pedro,CI,4.75,-6.64,1579645529.0,82.35,82.0,97.0,9.71
359,cairns,AU,-16.92,145.77,1579645355.0,82.99,83.0,90.0,4.7
360,snasa,NO,64.25,12.38,1579645531.0,35.6,74.0,90.0,18.34
361,antalya,TR,36.77,30.72,1579645275.0,46.4,31.0,0.0,19.46
